Date,Time,Rating,Sentiment,Direction,Type
08/25/2016,11:40 AM,99.345,Positive,rec,statement
08/25/2016,11:49 PM,99.345,Positive,rec,question
08/25/2016,1:01 PM,99.9982,Positive,rec,statement
08/25/2016,4:46 PM,91.3191,Positive,rec,statement
08/25/2016,6:17 PM,97.4816,Positive,rec,statement
08/25/2016,11:59 PM,98.1055,Positive,rec,statement
08/26/2016,1:24 PM,99.9669,Negitive,rec,statement
08/26/2016,2:47 PM,99.9573,Positive,rec,statement
08/26/2016,3:07 PM,55.3861,Neutral,rec,statement
08/26/2016,7:10 PM,62.0375,Neutral,rec,other
08/26/2016,8:18 PM,95.9259,Positive,rec,statement
08/27/2016,12:20 AM,50.6877,Neutral,rec,question
08/27/2016,3:49 AM,85.4083,Positive,rec,statement
08/27/2016,7:36 PM,99.9811,Positive,rec,other
08/28/2016,7:14 PM,99.4739,Negative,rec,other
08/28/2016,7:42 PM,95.4127,Negative,rec,statement
08/28/2016,7:42 PM,95.4127,Negative,rec,statement
08/28/2016,8:27 PM,74.5774,Positive,rec,statement
08/28/2016,8:40 PM,90.0741,Positive,rec,statement
08/28/2016,11:23 PM,85.3712,Positive,rec,statement
08/29/2016,1:27 AM,63.2418,Positive,rec,statement
08/29/2016,1:59 PM,80.1851,Positive,rec,statement
08/29/2016,2:23 PM,99.6737,Positive,rec,statement
08/29/2016,3:40 PM,61.5904,Neutral,rec,statement
08/29/2016,4:27 PM,100,Positive,rec,statement
08/29/2016,5:47 PM,0,Neutral,rec,question
08/29/2016,3:58 PM,0,Neutral,rec,question
08/29/2016,6:39 PM,0,Neutral,rec,answer
08/29/2016,7:36 PM,0,Neutral,rec,other
08/29/2016,7:37 PM,0,Neutral,rec,other
08/29/2016,8:01 PM,0,Neutral,rec,statement
08/30/2016,12:45 AM,0,Neutral,rec,other
08/30/2016,3:36 AM,0,Neutral,rec,statement
08/30/2016,4:42 AM,0,Neutral,rec,other
08/30/2016,10:14 AM,0,Neutral,rec,other
08/30/2016,10:38 AM,0,Neutral,rec,statement
08/30/2016,11:05 AM,0,Neutral,rec,statement
08/30/2016,11:44 AM,0,Neutral,rec,question
08/30/2016,11:50 AM,0,Neutral,rec,statement
08/30/2016,7:57 AM,0,Neutral,rec,question
08/30/2016,12:51 PM,0,Neutral,rec,answer
08/30/2016,12:54 PM,0,Neutral,rec,statement
08/30/2016,2:33 PM,0,Neutral,rec,statement
08/30/2016,1:02 PM,0,Neutral,rec,question
08/30/2016,1:07 PM,0,Neutral,rec,answer
08/30/2016,1:18 PM,0,Neutral,rec,question
08/30/2016,1:34 PM,0,Neutral,rec,answer
08/30/2016,2:18 PM,0,Neutral,rec,statement
08/30/2016,3:41 PM,0,Neutral,rec,statement
08/30/2016,5:11 PM,0,Neutral,rec,other
08/31/2016,9:48 AM,0,Neutral,rec,statement
08/31/2016,9:55 AM,0,Neutral,rec,other
08/31/2016,10:59 AM,0,Neutral,rec,statement
08/31/2016,11:56 PM,0,Neutral,rec,answer
08/31/2016,10:27 AM,0,Neutral,rec,statement
08/31/2016,12:14 PM,0,Neutral,rec,answer
08/31/2016,12:47 AM,0,Neutral,rec,statement
08/31/2016,12:54 PM,0,Neutral,rec,question
08/31/2016,3:15 PM,0,Neutral,rec,statement
08/31/2016,3:20 PM,0,Neutral,rec,other
08/31/2016,11:04 AM,0,Neutral,rec,other
08/31/2016,3:56 PM,0,Neutral,rec,question
08/31/2016,4:07 PM,0,Neutral,rec,other
08/31/2016,8:06 PM,0,Neutral,rec,question
09/01/2016,9:10 AM,0,Neutral,rec,statement
09/01/2016,12:09 PM,0,Neutral,rec,answer
09/01/2016,12:22 PM,0,Neutral,rec,statement
09/01/2016,4:01 PM,0,Neutral,rec,statement
09/01/2016,11:10 PM,0,Neutral,rec,statement
09/02/2016,1:02 AM,0,Neutral,rec,statement
09/02/2016,1:27 AM,0,Neutral,rec,other
09/02/2016,1:27 AM,0,Neutral,rec,other
09/02/2016,1:48 AM,0,Neutral,rec,other
09/02/2016,3:18 AM,0,Neutral,rec,other
09/02/2016,8:24 AM,0,Neutral,rec,answer
09/02/2016,10:31 AM,0,Neutral,rec,answer
09/02/2016,12:41 PM,0,Neutral,rec,statement
09/02/2016,2:00 PM,0,Neutral,rec,other
09/02/2016,6:17 PM,0,Neutral,rec,statement
09/02/2016,9:25 PM,0,Neutral,rec,other
09/04/2016,4:44 AM,0,Neutral,rec,other
09/04/2016,11:57 AM,0,Neutral,rec,answer
09/05/2016,2:01 PM,0,Neutral,rec,other
09/05/2016,10:46 PM,0,Neutral,rec,statement
09/06/2016,6:01 AM,0,Neutral,rec,statement
09/06/2016,6:02 AM,0,Neutral,rec,statement
09/06/2016,6:02 AM,0,Neutral,rec,statement
09/06/2016,9:18 AM,0,Neutral,rec,other
09/06/2016,9:25 AM,0,Neutral,rec,answer
09/06/2016,10:08 AM,0,Neutral,rec,question
09/06/2016,10:38 AM,0,Neutral,rec,question
09/06/2016,1:28 PM,0,Neutral,rec,statement
09/06/2016,1:38 PM,0,Neutral,rec,other
09/06/2016,2:01 PM,0,Neutral,rec,statement
09/06/2016,9:45 AM,0,Neutral,rec,statement
09/06/2016,11:29 AM,0,Neutral,rec,question
09/06/2016,1:22 PM,0,Neutral,rec,answer
09/06/2016,1:45 PM,0,Neutral,rec,answer
09/06/2016,2:05 PM,0,Neutral,rec,answer
09/06/2016,4:23 PM,0,Neutral,rec,other
09/06/2016,4:35 PM,0,Neutral,rec,statement
09/06/2016,4:55 PM,0,Neutral,rec,statement
08/25/2016,12:22 AM,0,Neutral,sent,answer
08/25/2016,12:28 AM,0,Neutral,sent,question
08/25/2016,11:28 AM,0,Neutral,sent,answer
08/26/2016,12:33 PM,0,Neutral,sent,question
08/26/2016,3:34 PM,0,Neutral,sent,statement
08/26/2016,6:11 PM,0,Neutral,sent,statement
08/26/2016,10:45 PM,0,Neutral,sent,question
08/26/2016,12:18 AM,0,Neutral,sent,statement
08/27/2016,1:19 AM,0,Neutral,sent,statement
08/27/2016,4:38 AM,0,Neutral,sent,statement
08/27/2016,4:41 AM,0,Neutral,sent,statement
08/27/2016,3:37 AM,0,Neutral,sent,question
08/27/2016,12:57 AM,0,Neutral,sent,question
08/28/2016,6:24 PM,0,Neutral,sent,question
08/28/2016,12:08 PM,0,Neutral,sent,question
08/28/2016,6:56 PM,0,Neutral,sent,statement
08/29/2016,11:45 AM,0,Neutral,sent,statement
